AthleteName	Graduation	BeltColor	BeltDegree	Academy	Federation	FederationAbbr
Sungmin Cho	Black Belt	Black		Over Limit BJJ International	International Brazilian Jiu-Jitsu Federation	IBJJF
Suyan Lopes Queiroz	Black Belt Fifth Degree	Black	5	First BJJ Carlson Gracie Team	United States Brazilian Jiu-Jitsu Federation	USBJJF
Suzana Kenia Fernandes Nogueira	Black Belt First Degre	Black	1	G13 BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Sven Rug	Black Belt	Black		AJJK	International Brazilian Jiu-Jitsu Federation	IBJJF
Synthio Roubert Nunes Brito	Black Belt	Black		Osvaldo Alves	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tadeu Ricelli Beltrao Santos	Black Belt First Degre	Black	1	Team Ivan Leal	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tadeu Soares de Aragão Macedo	Black Belt First Degre	Black	1	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tadeu Takao Tani	Black Belt Fifth Degree	Black	5	Tani Team	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tais Adriana Santos Almeida	Black Belt Second Degree	Black	2	Gracie Barra Alagoinhas	Confederação Brasileira de Jiu-Jitsu	CBJJ
Takaaki Okamoto	Black Belt	Black		Tri-Force Roots	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takahide Onoda	Black Belt	Black		Paraestra Ikebukuro	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takashi Iwabuchi	Black Belt Second Degree	Black	2	Soujiukai Sendai	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takashi Ouchi	Black Belt Second Degree	Black	2	Paraestra Koiwa	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takashi Sato	Black Belt Second Degree	Black	2	Renatus Jiu-Jitsu Academy	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takayuki Hirose	Black Belt Third Degree	Black	3	Paraestra TB	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takayuki Koyama	Black Belt Second Degree	Black	2	Fukuzumi Jiu-Jitsu	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takekazu Haraguchi	Black Belt	Black		Over Limit Mars JJC	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takeo Tani	Black Belt Second Degree	Black	2	Equilibrium Mixed Martial Arts	International Brazilian Jiu-Jitsu Federation	IBJJF
Takeru Ueno	Black Belt Second Degree	Black	2	MACACO Jiu-Jitsu Academy	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takeshi Hamano	Black Belt First Degre	Black	1	Pogona Club Gym	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takeshi Morimoto	Black Belt Second Degree	Black	2	Ground Core	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takeshi Sato	Black Belt Third Degree	Black	3	Brave Heart	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takeshi Shinkawa	Black Belt Third Degree	Black	3	Suita Jiu-Jitsu	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takeshi Yamazaki	Black Belt Third Degree	Black	3	Me, We	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takuma Tokito	Black Belt Third Degree	Black	3	Purebred Omiya	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takumi Nakayama	Black Belt Second Degree	Black	2	Paraestra Osaka	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Takuya Yokoyama	Black Belt First Degre	Black	1	Grabaka Jiu-Jitsu Club	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tamara Maia Medeiros Rocha	Black Belt	Black		Halavanca BJJ International	International Brazilian Jiu-Jitsu Federation	IBJJF
Tanner Nicholas Weisgram	Black Belt	Black		Sylvio Behring USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Tanzio Sperone	Black Belt	Black		Tribe Jiu-Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Tara Arrington	Black Belt	Black		Mohler MMA - Coppell	United States Brazilian Jiu-Jitsu Federation	USBJJF
Tarek M Mohamed Mater	Black Belt	Black		Palms Sports	International Brazilian Jiu-Jitsu Federation	IBJJF
Taro Kimura	Black Belt First Degre	Black	1	Dragon's Den	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tarsis da Gama e Paula Neto	Black Belt First Degre	Black	1	Elementum Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Tashiro Flavio Seiti	Black Belt First Degre	Black	1	Over Limit BJJ	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tassio Henrique Acacio Abreu Andrade	Black Belt	Black		Gracie Barra Goiania - GO	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tatiane Peixe	Black Belt First Degre	Black	1	G13 BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tatsuo Goya	Black Belt Second Degree	Black	2	Alliance El Paso	United States Brazilian Jiu-Jitsu Federation	USBJJF
Tatsuya Onose	Black Belt Third Degree	Black	3	Reversal Gym Kawaguchi Redips	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tatsuya Wakayama	Black Belt	Black		Waka Jiu-Jitsu	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tayrone da Silva Damasceno	Black Belt Fourth Degree	Black	4	GF Team Paraiba	Confederação Brasileira de Jiu-Jitsu	CBJJ
Teimoc Johnston-Ono	Black Belt Second Degree	Black	2	Equipe Fabricio	United States Brazilian Jiu-Jitsu Federation	USBJJF
Telmo Araújo do Nascimento	Black Belt Third Degree	Black	3	TN - BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Teo Anton Viitala	Black Belt Second Degree	Black	2	Polar Jiu-Jitsu Team	International Brazilian Jiu-Jitsu Federation	IBJJF
Teo Weinstein Edelstein	Black Belt	Black		Guetho Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Terorge Leckar Sarzedas Junior	Black Belt Third Degree	Black	3	Double Five Tijuca	Confederação Brasileira de Jiu-Jitsu	CBJJ
Terry C. Means	Black Belt	Black		Gracie Barra Clearwater	United States Brazilian Jiu-Jitsu Federation	USBJJF
Terry Riggs	Black Belt Third Degree	Black	3	Warrior MMA & Jiu Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Teruo Fujisawa	Black Belt First Degre	Black	1	Nagoya Fight Club	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Teruyuki Okuda	Black Belt First Degre	Black	1	X-Treme Jiu-Jitsu Academy	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tessa Rose Simpson	Black Belt	Black		Gracie Humaita Austin	United States Brazilian Jiu-Jitsu Federation	USBJJF
Tetsuo Ohkawa	Black Belt First Degre	Black	1	Sparcrew	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Thaddeus Edwin Baumann	Black Belt	Black		Gracie Barra Clermont	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thadeu Alves Vieira	Black Belt Third Degree	Black	3	Vieira Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thaisio Da Costa Feliz	Black Belt First Degre	Black	1	Future School of Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thales de Oliveira Santos	Black Belt	Black		Leão Dourado	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thales Filipe Ferreira Martins Barreto	Black Belt	Black		Equipe Juquinha	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thales Leites Lourenço	Black Belt Third Degree	Black	3	Nova União Niterói	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thalison Vitorino Soares	Black Belt	Black		Cicero Costha Internacional	International Brazilian Jiu-Jitsu Federation	IBJJF
Thalles Guimarães Moreira	Black Belt	Black		Brow Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thelmo Jose Calmon Naranjo	Black Belt Third Degree	Black	3	Gracie Barra Texas	International Brazilian Jiu-Jitsu Federation	IBJJF
Theodore K Oates III	Black Belt First Degre	Black	1	Tac Team BJJ - Midwest	United States Brazilian Jiu-Jitsu Federation	USBJJF
Theodoro Gabriel Canal Almeida	Black Belt Fourth Degree	Black	4	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Alves Bessa	Black Belt	Black		Vilsão Team Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Alves Rocha	Black Belt Second Degree	Black	2	Gracie Humaita	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Aragão de Abreu	Black Belt First Degre	Black	1	CheckMat	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Barreto Bento	Black Belt	Black		First BJJ Carlson Gracie Team	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thiago Bernardo Carvalho de Almeida	Black Belt First Degre	Black	1	Kioto Brazilian Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Carneiro de Almeida	Black Belt Second Degree	Black	2	Alliance SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Clemente Pires	Black Belt	Black		Escola de JJ Leão Teixeira	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago da Rocha Luz	Black Belt	Black		Team Manell	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago de Carvalho Nogueira	Black Belt First Degre	Black	1	Pitbull	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago de Godoi Braga	Black Belt Third Degree	Black	3	Legacy	International Brazilian Jiu-Jitsu Federation	IBJJF
Thiago de Guimarães	Black Belt Fourth Degree	Black	4	Gracie Humaita Reunion	International Brazilian Jiu-Jitsu Federation	IBJJF
Thiago de Oliveira Dutra	Black Belt Third Degree	Black	3	Striker JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago de Souza Moreira	Black Belt First Degre	Black	1	Gracie Barra Goiania - GO	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago dos Santos Palma	Black Belt First Degre	Black	1	Nova União International	International Brazilian Jiu-Jitsu Federation	IBJJF
Thiago dos Santos Rabello	Black Belt Second Degree	Black	2	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Falcão Goiabeira	Black Belt Second Degree	Black	2	Ribeiro Jiu-Jitsu International	International Brazilian Jiu-Jitsu Federation	IBJJF
Thiago Felipe Hatada	Black Belt First Degre	Black	1	Impacto Japan B.J.J.	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Thiago Fernandes Vieira	Black Belt Second Degree	Black	2	TFV BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Ferreira dos Santos	Black Belt First Degre	Black	1	GF Team São Paulo	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago G. T. de Oliveira Marques	Black Belt Third Degree	Black	3	Gracie Humaita USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thiago Gonçalves Monteiro Veiga	Black Belt Fourth Degree	Black	4	LCCT USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thiago Henrique Barboza	Black Belt First Degre	Black	1	Atos Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Higino Silvestre de Souza	Black Belt	Black		Rilion Gracie Pernambuco	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Jorge Borges	Black Belt Fourth Degree	Black	4	GF Team UK	International Brazilian Jiu-Jitsu Federation	IBJJF
Thiago Kogake Pereira	Black Belt	Black		Base Jiu-Jitsu	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Thiago L. Mendes Barros	Black Belt	Black		Carlson Gracie San Antonio TX	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thiago Laube dos Santos	Black Belt	Black		GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Lucas Falco	Black Belt	Black		Magoo JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Mascaranhas	Black Belt Second Degree	Black	2	Mascaranhas Team	International Brazilian Jiu-Jitsu Federation	IBJJF
Thiago Meira Barioni	Black Belt Second Degree	Black	2	Alliance Monte Carmelo	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Monteiro de Araújo	Black Belt	Black		Konk Brazilian Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Morbin Domingues	Black Belt Third Degree	Black	3	De La Riva Jiu-Jitsu USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thiago Nassur de P. Gonçalves	Black Belt First Degre	Black	1	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Oliveira da Costa	Black Belt First Degre	Black	1	Qatar BJJ Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Oliveira de Andrade	Black Belt First Degre	Black	1	Team Yuri Carlton	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Pereira Schiavo	Black Belt	Black		GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Poyer Nogueira Souza Santos	Black Belt Second Degree	Black	2	Magoo JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Reinaldo de Souza	Black Belt Third Degree	Black	3	Gracie Barra Stafford	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thiago Ribeiro Coutinho	Black Belt Third Degree	Black	3	Agnaldo Góes Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Silva Ramos	Black Belt	Black		Carlson Gracie Central Florida	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thiago Stefanutti	Black Belt Third Degree	Black	3	Absolute MMA Australia	International Brazilian Jiu-Jitsu Federation	IBJJF
Thiago Teixeira do Nascimento	Black Belt Second Degree	Black	2	Lethal Team BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Torres Quintanilha	Black Belt	Black		Thiago Quintanilha BJJ - TQ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Venancio Graf	Black Belt	Black		Welton Ribeiro	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thiago Vieira Israel	Black Belt Second Degree	Black	2	Quintella BJJ Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thibaut François Léo Olivier	Black Belt Third Degree	Black	3	Gokudo	International Brazilian Jiu-Jitsu Federation	IBJJF
Thierry Nakache	Black Belt Second Degree	Black	2	Nakache Brazilian Jiu Jitsu Academy	International Brazilian Jiu-Jitsu Federation	IBJJF
Thierry Paul Rijvas	Black Belt First Degre	Black	1	ATRJJB Association Team Rijvas Jiu-Jitsu Bresilien	Confédération Française de Jiu-Jitsu Brésilien	CFJJB
Thomas A. Reusing	Black Belt Second Degree	Black	2	Gracie Barra America	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thomas C Pless	Black Belt Third Degree	Black	3	Legacy Jiu-Jitsu - Team Alberto Crane	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thomas Clarence Deters	Black Belt	Black		The Armory	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thomas E. Lynn	Black Belt First Degre	Black	1	Ghost Squad BJJ Team	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thomas Edward Rumsey	Black Belt	Black		Claudio Franca	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thomas Gerald Haselton	Black Belt First Degre	Black	1	Gracie Humaita Las Vegas	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thomas Hernan Oyarzun	Black Belt	Black		Fernando Terere Jiu-Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Thomas Holtmann	Black Belt First Degre	Black	1	Caique Jiu-Jitsu Germany	International Brazilian Jiu-Jitsu Federation	IBJJF
Thomas John King	Black Belt	Black		Team KF	International Brazilian Jiu-Jitsu Federation	IBJJF
Thomas Lacan	Black Belt	Black		Mako Team Paris	International Brazilian Jiu-Jitsu Federation	IBJJF
Thomas Leroy Schmitz	Black Belt Second Degree	Black	2	SMA Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thomas Lincoln Correa Lisboa	Black Belt Second Degree	Black	2	Alliance SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Thomas Michael Costa	Black Belt	Black		HGJJ USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thomas Michael Kenney	Black Belt	Black		UFC Gym	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thomas Nicolas Joseph Mouttet	Black Belt	Black		Gracie Humaita Reunion	International Brazilian Jiu-Jitsu Federation	IBJJF
Thomas Rozdzynski	Black Belt	Black		Team Redzovic	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thomas Scott Oberhue	Black Belt Second Degree	Black	2	Ribeiro Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thomas Wai Kong Fan	Black Belt First Degre	Black	1	Icon Jiu-Jitsu Team - HongKong China	International Brazilian Jiu-Jitsu Federation	IBJJF
Thomas William Little Jr	Black Belt Second Degree	Black	2	South Valley Jiu Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Thompson Nogueira Lolli	Black Belt	Black		Nova União Azul	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Andre Vieira	Black Belt First Degre	Black	1	Gracie Barra Joinville	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Bravo dos Santos	Black Belt Second Degree	Black	2	Brasa Clube de Jiu-Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Tiago Coelho Porto Rocha	Black Belt Third Degree	Black	3	Alliance Uberlândia	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago de Castro Souza	Black Belt Second Degree	Black	2	Tiago Castro JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago de Sousa Costa	Black Belt Second Degree	Black	2	Nardini Evolution	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago dos Santos Mascarenhas	Black Belt	Black		Nova União	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Fernandes de Paula	Black Belt	Black		Rilion Gracie JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Franca Santa Ritta	Black Belt First Degre	Black	1	Gracie Barra - Bonfim	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Gomes Dias Alves	Black Belt Third Degree	Black	3	Alliance SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Monteiro M. Almeida Castro	Black Belt First Degre	Black	1	Gracie Barra Goiania - GO	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Oliveira Lima	Black Belt First Degre	Black	1	Zenith BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Pereira Almeida	Black Belt Third Degree	Black	3	Six Blades Jiu-Jitsu - Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Pereira Neves	Black Belt First Degre	Black	1	Rilion Gracie Academy Florianópolis Coqueiros	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Schietti de Almeida	Black Belt First Degre	Black	1	Clube Feijão de Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Silva Souza	Black Belt	Black		Go Fight BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tiago Vinicius de Araujo Campos	Black Belt	Black		GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Timothy Daniel Bruce	Black Belt Second Degree	Black	2	Tim Bruce Jiu Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Timothy Earl Rogers	Black Belt First Degre	Black	1	Anchor Brazilian Jiu-Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Timothy Edward Shirley	Black Belt First Degre	Black	1	SAS Team USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Timothy Fergal Noel Murphy	Black Belt First Degre	Black	1	Point Blank Gym	International Brazilian Jiu-Jitsu Federation	IBJJF
Timothy Gordon Shears	Black Belt Second Degree	Black	2	Gracie Barra Vancouver	International Brazilian Jiu-Jitsu Federation	IBJJF
Timothy Harlan Blackstone	Black Belt First Degre	Black	1	Alliance USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Timothy James Dawson	Black Belt	Black		High Noon BJJ Team	United States Brazilian Jiu-Jitsu Federation	USBJJF
Timothy L Barchard	Black Belt Second Degree	Black	2	Start Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Timothy Nafey	Black Belt	Black		Bill Scott BJJ Shore Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
Tito de Souza Benittes	Black Belt	Black		VBFT Vagner Bueno Fighters Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tobin Staley	Black Belt	Black		Cassio Werneck BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Toby Bryant Mills	Black Belt	Black		Solis Martial Arts Club	United States Brazilian Jiu-Jitsu Federation	USBJJF
Todd Arthur Johnson	Black Belt First Degre	Black	1	CheckMat USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Todd Blair Kelly	Black Belt	Black		Gracie Barra Burnaby	International Brazilian Jiu-Jitsu Federation	IBJJF
Todd David Hendrickson	Black Belt Third Degree	Black	3	Hendrickson BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Todd Edward Jones	Black Belt Second Degree	Black	2	Coalition 95	United States Brazilian Jiu-Jitsu Federation	USBJJF
Todd Everett Broadaway	Black Belt Second Degree	Black	2	Gracie Barra Orlando	United States Brazilian Jiu-Jitsu Federation	USBJJF
Todd Labanes Moore	Black Belt Second Degree	Black	2	Team Tooke Mixed Martial Arts	United States Brazilian Jiu-Jitsu Federation	USBJJF
Todd Yoshi Ikeda	Black Belt First Degre	Black	1	Grappling Unlimited	United States Brazilian Jiu-Jitsu Federation	USBJJF
Tom D. Knox	Black Belt Second Degree	Black	2	Cleber Jiu Jitsu Visalia	United States Brazilian Jiu-Jitsu Federation	USBJJF
Tomas Andrew Barlow	Black Belt Second Degree	Black	2	Escapology BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Tomas Garvin Esteban	Black Belt	Black		Titanes BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Tomikazu Goto	Black Belt First Degre	Black	1	Paraestra Kitakyushu	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tommi Tapio Pulkkanen	Black Belt	Black		Hilti BJJ Turku	International Brazilian Jiu-Jitsu Federation	IBJJF
Tommy Mikael Malmberg	Black Belt Third Degree	Black	3	Polar Jiu-Jitsu Team	International Brazilian Jiu-Jitsu Federation	IBJJF
Tomohiro Ide	Black Belt First Degre	Black	1	Paraestra Nakagawa Ide Dojo	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tomomi Iwama	Black Belt Third Degree	Black	3	Barbosa Jiu-Jitsu Japan	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tomonari Kanomata	Black Belt First Degre	Black	1	Me, We	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tomoshige Sera	Black Belt	Black		Carpe Diem	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tomoyuki Suda	Black Belt	Black		Scorpion Gym	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Tony Belo Rosas Orfali	Black Belt Fourth Degree	Black	4	Team Pé de Chumbo	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tony Eduardo de Lima e Silva Hoerhann	Black Belt Fourth Degree	Black	4	Next Level BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Tony Erik Backman	Black Belt Second Degree	Black	2	Hangon Hyrskyt	International Brazilian Jiu-Jitsu Federation	IBJJF
Tony Herbet Alves da Silva	Black Belt	Black		ZR Team Pernambuco	Confederação Brasileira de Jiu-Jitsu	CBJJ
Tony Larsson	Black Belt Second Degree	Black	2	Gracie Barcelona	International Brazilian Jiu-Jitsu Federation	IBJJF
Tony Souza	Black Belt Third Degree	Black	3	Ralph Gracie	United States Brazilian Jiu-Jitsu Federation	USBJJF
Toru Nakayama	Black Belt Third Degree	Black	3	Tri-Force Jiu-Jitsu Academy	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Toshihiko Oka	Black Belt First Degre	Black	1	Oka Jiu-Jitsu	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Toshio Kuroiwa	Black Belt Third Degree	Black	3	EBJJA/Kuroiwa	Confederação Brasileira de Jiu-Jitsu	CBJJ
Toshiyuki Sato	Black Belt Second Degree	Black	2	Checkmat CDJJ Tokyo	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Totila Jordan Neto	Black Belt Sixth Degree	Black	6	Start Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Travis A. Hart	Black Belt	Black		Academia Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Travis E. Davison	Black Belt Third Degree	Black	3	SBG Montana	United States Brazilian Jiu-Jitsu Federation	USBJJF
Travis Lee Tooke	Black Belt Fourth Degree	Black	4	Team Tooke Mixed Martial Arts	United States Brazilian Jiu-Jitsu Federation	USBJJF
Travis R. Wells	Black Belt Second Degree	Black	2	Central Maine Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Travis Schlotterbeck	Black Belt	Black		Carlson Gracie Team	United States Brazilian Jiu-Jitsu Federation	USBJJF
Travis Shawn Lutter	Black Belt Third Degree	Black	3	Travis Lutter Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Travis T. Haynes	Black Belt First Degre	Black	1	Mat Lab Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Trevor  Birmingham	Black Belt	Black		T. Birmingham Academy	International Brazilian Jiu-Jitsu Federation	IBJJF
Troy Alan Miedema	Black Belt	Black		Brasa Austin TX	United States Brazilian Jiu-Jitsu Federation	USBJJF
Tyler Scott Bosard	Black Belt Third Degree	Black	3	Gracie Barra Brownsville	United States Brazilian Jiu-Jitsu Federation	USBJJF
Uanderson Maia de Brito	Black Belt Second Degree	Black	2	Usina de Campeões	Confederação Brasileira de Jiu-Jitsu	CBJJ
Ubiratan Puga Ferreira	Black Belt First Degre	Black	1	Martial Arts Garra Office	Confederação Brasileira de Jiu-Jitsu	CBJJ
Uchimura Antonio Carlos Da Silva	Black Belt First Degre	Black	1	Braves Jiu-Jitsu	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Uebe Gomes Ramos	Black Belt First Degre	Black	1	The Brothers BJJ Pernambuco	Confederação Brasileira de Jiu-Jitsu	CBJJ
Uelington da Silva Caetano	Black Belt	Black		GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Uira Stahler Dal Jovem	Black Belt First Degre	Black	1	Palms Sports	International Brazilian Jiu-Jitsu Federation	IBJJF
Ulf Ehlert	Black Belt First Degre	Black	1	Alliance International	International Brazilian Jiu-Jitsu Federation	IBJJF
Ulf Magnus Elm	Black Belt Second Degree	Black	2	Viva Zapata Jiu Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Ulisses Leandro da Cunha Dias	Black Belt	Black		Focus Jiu-Jitsu - Vitória SC	Federação Portuguesa de Jiu-Jitsu Brasileiro	FPJJB
Ulisses Rodrigues Paixão	Black Belt Second Degree	Black	2	Clube Ulisses Paixão Brazilian Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Ulpiano Malachias Neto	Black Belt Third Degree	Black	3	Gracie Barra Westchase	United States Brazilian Jiu-Jitsu Federation	USBJJF
Ulysses Mascarenhas Calado	Black Belt First Degre	Black	1	Alliance SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Ursula Moraes Loureiro Van Erven	Black Belt First Degre	Black	1	Clube de Jiu-Jitsu Pitbull Czech Republic	International Brazilian Jiu-Jitsu Federation	IBJJF
Vagner Alves de Santana	Black Belt Second Degree	Black	2	Team MMA Omni	United States Brazilian Jiu-Jitsu Federation	USBJJF
